category_name,positionLevels,required_qualification,skills
Risk Management,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Architecture / Interior Design,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Risk Management,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Wholesale Trade,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Education and Training,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Curriculum development, Classroom management, Instructional skills, Student assessment, Communication, Subject matter expertise."
Legal,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Insurance,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Education and Training,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Curriculum development, Classroom management, Instructional skills, Student assessment, Communication, Subject matter expertise."
Events / Promotions,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
General Work,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Manufacturing,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Production planning, Lean manufacturing, Six Sigma, Quality control, Equipment maintenance, Safety protocols."
Professional Services,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Legal,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Telecommunications,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Wholesale Trade,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Advertising / Media,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Healthcare / Pharmaceutical,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Patient care, Clinical knowledge, Medical record keeping, Communication, Empathy, Compliance with health regulations."
Design,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Real Estate / Property Management,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Professional Services,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Risk Management,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Public / Civil Service,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Security and Investigation,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Social Services,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Insurance,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Social Services,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Advertising / Media,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Precision Engineering,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Technical analysis, Problem-solving, CAD/CAM software, Project management, Technical documentation, Quality assurance."
Real Estate / Property Management,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Travel / Tourism,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Events / Promotions,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Precision Engineering,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Technical analysis, Problem-solving, CAD/CAM software, Project management, Technical documentation, Quality assurance."
Public / Civil Service,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Repair and Maintenance,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Events / Promotions,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
General Work,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Insurance,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Real Estate / Property Management,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Travel / Tourism,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Entertainment,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Medical / Therapy Services,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Purchasing / Merchandising,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Purchasing / Merchandising,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Travel / Tourism,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Environment / Health,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Purchasing / Merchandising,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Public / Civil Service,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Repair and Maintenance,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Telecommunications,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Entertainment,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Insurance,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Travel / Tourism,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Travel / Tourism,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Entertainment,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Sciences / Laboratory / R&D,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Medical / Therapy Services,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Public / Civil Service,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Social Services,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Insurance,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Risk Management,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Telecommunications,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Security and Investigation,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
